Description,Category
need to make wirless connection from TV to Laptop ,Laptops/Desktop
"Res sir's,Touch pad of my laptop not working pro",Laptops/Desktop
Temporary Printerrequired,Laptops/Desktop
Stand by Printerneed to install,Laptops/Desktop
Dear Sir kindly help me out to connect Printerwit,Printer
Please reset my VPN ID.EMP. Code :- 13001638,Laptops/Desktop
"Prints not coming, showing Driver offline (this ha",Printer
Kindly install VPN in my system for accessing SAP,Network
"I am Tikam Kumar Prajapat Emp. (Code 13001567), wo",Application
Common Sharp Printerto be configure at my PC,Printer
Pl.  guide how to approve ticket from IT SAM help ,SAP
VC room testing,Laptops/Desktop
Mail Sending issue,Laptops/Desktop
Printerserial number sending to manish kanpur,Laptops/Desktop
Printerissue,Laptops/Desktop
Unable to connect WIFI trough Hotspot,Laptops/Desktop
mail not working,Laptops/Desktop
"need to reset password, as requested by Mr. Jay",Laptops/Desktop
need ti dispatch invoices to padam tower,Laptops/Desktop
need to install latest version of adobe reader of ,Laptops/Desktop
need to remove older version of adobe reader of SK,Laptops/Desktop
Please reset my Password,Laptops/Desktop
Password issue,Laptops/Desktop
configure new laptop with all data backup,Laptops/Desktop
Ratlam depot password issue,Laptops/Desktop
unlock ad user,Laptops/Desktop
need to install printer,Laptops/Desktop
need to connect IP Phone,Laptops/Desktop
System working slow,Laptops/Desktop
sir....I have been transferred from Mangrol plant ,Laptops/Desktop
Wifi not working,Laptops/Desktop
Laptop dispatched,Laptops/Desktop
need to install teamviewer,Laptops/Desktop
Computer keeps on hanging even on single applicati,Laptops/Desktop
Printerissue,Laptops/Desktop
system not working,Laptops/Desktop
vpn is not working,Laptops/Desktop
need to install apps on new laptop,Laptops/Desktop
need to configure outlook profile,Laptops/Desktop
need to configure login profile,Laptops/Desktop
need to configure global protect,Laptops/Desktop
need install globalprotect,Laptops/Desktop
need to configure vpn of Netcomm Labs Pvt. Ltd.,Laptops/Desktop
need to install vpn of Netcomm Labs Pvt. Ltd.,Laptops/Desktop
not able to change the password kindly check ,E-mail
mail login issue please check ,E-mail
myjkc login issue ,Application
winzip installation,Software
"Sir, wi fi not running,   since noon,    using LA",Network
not able to change the password ,E-mail
Wifi problem/NET Not connected,Inquiry / Help
MONITOR NOT WORKING OF MR. GIRISH KUMAR (logistic ,Laptops/Desktop
Not opening - pulse secure,Inquiry / Help
Laptop issue,Inquiry / Help
not able to login macine,Laptops/Desktop
need to configure sap,Laptops/Desktop
need to install sap,Laptops/Desktop
need to configure vpn,Laptops/Desktop
need to install vpn,Laptops/Desktop
Laptop camera is not working.,Laptops/Desktop
Printernot connected,Printer
pl. kindly connect the Printerto my system.,Printer
Jio data card is not working for last 03 days. som,Laptops/Desktop
JKUSER_JHAR Wifi connection  auto disconnect,Network
need to configure global protect,Laptops/Desktop
need to install global protect,Laptops/Desktop
need to configure global protect.,Laptops/Desktop
need to install global protect,Laptops/Desktop
need to install global protect,Laptops/Desktop
Unable to send receive e-mail. Please check.,Network
approval flow E mail Notification on ARIBA PLATFOR,Datacenter
Need to connect with new printer,Printer
Slow Working,Laptops/Desktop
need to install Printeron macbook of Ajai Kumar S,Laptops/Desktop
vpn issue,Laptops/Desktop
login issue,Laptops/Desktop
outlook not working.,Laptops/Desktop
need to take follow u with DSC vendor,Laptops/Desktop
Password issue,E-mail
Blue dump error,Laptops/Desktop
Need to install Think Cell.,Laptops/Desktop
Outlook Not working.,Laptops/Desktop
INfo kenya password to be reset,Laptops/Desktop
Please create New VPN IDs (Non domain user) as per attached file for RFID Vendor and add all these VPN IDs to the RFID group (RFID Support Vendor),Other
sap not working,Laptops/Desktop
Called me for confirm the status of laptop,Laptops/Desktop
Laptop delivery  jaipur follow up,Laptops/Desktop
need to take handover of iPad,Laptops/Desktop
Laptop follow up with akleem,Laptops/Desktop
need to check ups conectivity,Laptops/Desktop
need to provide patch cable,Laptops/Desktop
Outlook is not working,Laptops/Desktop
Laptop power not ON,Laptops/Desktop
need to update touchpad driver,Laptops/Desktop
nned to update BIOS driver,Laptops/Desktop
need to share not working port details of ups room,Laptops/Desktop
mail not working,Laptops/Desktop
need to enrool on biometrics,Laptops/Desktop
need to scan invoices,Laptops/Desktop
wi-fi is not connecting,Laptops/Desktop
need to check 7th floor devices,Laptops/Desktop
need to check 5th floor devices,Laptops/Desktop
need to check 4th floor devices,Laptops/Desktop
Contract Workmen(Bio-Matric)  Main gate Punching M,Network
need to enrool Rajnish Sir on biometrics,Laptops/Desktop
Increase RAM 8 GB to 16 GB in RFID QA server 10.4.,Application
PLS PROVIDE U FOLDER,Shared File and Folder Access
please reset my login password,Other
Reset my  login password ,Other
Please arrange to place upgraded IP Phone with pho,Network
Sir Please Update Line Item 20 In RFID And Retrig,Application
Laptop update issue,Laptops/Desktop
Teams issue,Laptops/Desktop
Zoom installation,Software
Dispatch laptop updated in Excel sheet,Printer
account lockout kindly reset ,Laptops/Desktop
please reset my password,Security
please replaced Printercartridge with newone,Printer
Unable to login the mail in Laptop,Laptops/Desktop
Password issue,Laptops/Desktop
Account Lock,Laptops/Desktop
Account lock,E-mail
Please change the telephone display name  as per b,Laptops/Desktop
New laptop (B588DL3) handover with all Data backup,Laptops/Desktop
VPnNAccess,Network
please provide VPN access to Priyanka RoySAP PRD,Laptops/Desktop
Printerneed to add,Laptops/Desktop
Plz Reset to same psswrd,E-mail
Laptop working very slow,Laptops/Desktop
1 Laptop dispatch for Bangalore,Laptops/Desktop
1 Laptop Dispatch for pune,Laptops/Desktop
Unable to login in MS Teams.,Other Hardware
4 Laptop dispatch for Pune,Laptops/Desktop
2 Laptop Dispatched for Kanpur,Laptops/Desktop
Kindly create share folder in Nimbahera file server.,Shared File and Folder Access
Dell Latitude 3420Laptop with Adapter  & BagS/N:,Laptops/Desktop
Anti virus Installation,Antivirus
sap configuration,SAP
kindly system login with my profile ,Laptops/Desktop
Mail configuration,E-mail
need to configure printer,Laptops/Desktop
"Dear Sir,Out sider email not received",Network
Please reset VPN ID - 1002393.the same is due to ,Network
login issue.,Laptops/Desktop
requesting mouse pads with new PC -  2Nos,Laptops/Desktop
kindly reset the password ,E-mail
login issue,Laptops/Desktop
Head phone is not working in my laptop head phone ,Laptops/Desktop
UNwanted files showing on desktop.,Laptops/Desktop
"Dear ,My system is very slow  and  some time it ",Laptops/Desktop
outlook login issue.,Laptops/Desktop
"Internet speed is very slow , trying to see some F",Network
Navdish Sharma Adobe reader reader issue,Laptops/Desktop
NAvdish Sharma Printerissue,Laptops/Desktop
IP Phone NAme change,Other
please issue one cartridge,Laptops/Desktop
please  arrange VPN access on priority,Network
need to scan photo of Sanjeev Garg Sir,Laptops/Desktop
please reset my password,Laptops/Desktop
kindly reset the password  ,E-mail
kindly reset the password ,E-mail
RE: JIO Internet Dongle,Inquiry / Help
need to archive mailbox,Laptops/Desktop
VPN showing error. One first two trials it was not,Network
All RFID Hardware configuration required at packing plant NBH,Other
Power MCB need to change for Big LED at Parking no. 4,Other
Big LED testing at New Parking no. 4,Other
Laptop required and install all software & testing with hardware related to medical checkup,Other
Network required at Ahirpura road New WB,Other
need to configure printer,Laptops/Desktop
Network required in Raspberry pi to confi. auto announcement,Other
Ajai Kumar sir password need to change,Laptops/Desktop
Fiber splicing & Testing required at Ahirpura road WB and CPP Gate,Other
raspberry configuration for mangrol parking 4,Other Hardware
Printeris not working,Laptops/Desktop
4th floor Printeris not working,Laptops/Desktop
need to enrool user,Laptops/Desktop
need to coordinate with Mohit Gupta as instructed ,Laptops/Desktop
need to coordinate with raunak jain as instructed ,Laptops/Desktop
Biometric registration,Laptops/Desktop
Ashish Sir telephone not working,Laptops/Desktop
mail id not working,E-mail
VPN ID Creation,Network
Ashish Srivastava sir  internet not working,Laptops/Desktop
Ashish Srivastava sir biometric registration,Laptops/Desktop
Please reset my password,E-mail
"need to check network connection of 5th floor, rou",Laptops/Desktop
need to configure zoom,Laptops/Desktop
outlook prompt all time password submit issue,E-mail
please unlock my password,E-mail
Default Adobe to be change. Showing chrome,Software
NEED PrinterCONNECTION TO ID.,Printer
Tally not working,Laptops/Desktop
Please add the MAC Address,Network
need to alloacte desktop @ Reception Prism Tower,Laptops/Desktop
Please amend truck number in slip serial number 62,Laptops/Desktop
Password Reset,E-mail
Mail Issue ,E-mail
Password Reset ,E-mail
Mail issue,E-mail
Please create oracle code as per attachment,Laptops/Desktop
The Printerisn't linked to my laptop so unable to,Printer
u folder requied,Shared File and Folder Access
U folder required,Shared File and Folder Access
Printerissue,Printer
Microsoft Outlook not open in Laptop,Inquiry / Help
mail not working,E-mail
ISSUE IN DATA SYNC IN ONE DRIVE,Laptops/Desktop
"Dear sir , we have not received the Data card . K",Network
Mr. Shailesh Chandra Gupta  Telephone not working,Laptops/Desktop
Anamika Sahu password issue,Laptops/Desktop
As requested to Mohan Reddy Sir on my mail dt 22.0,Laptops/Desktop
E-Mail not working,Network
Lan cable required for PC,Network
Task not submitting in Lexcare site in my desktop ,Network
new laptop requirement Abhishek Ameta,Laptops/Desktop
Lan connection required,Network
new laptop requirement for Kamlesh Thakur,Laptops/Desktop
Please change IP Telephone No 12675 earlier in the,Other Hardware
"VPN is not getting connect . Error is coming ""You ",Network
Re: Issuance of new laptop at urgent.,Inquiry / Help
Issuance of new laptop at urgent.,Inquiry / Help
Need to provide vpn access on Cfw.Deoria,Laptops/Desktop
login issue,Laptops/Desktop
Pls install SAP/VPN setup ,Inquiry / Help
Ujjain Depot password issue,E-mail
VC Room Zoom call testing,Laptops/Desktop
Board room VC testing,Laptops/Desktop
vpn is not working,Laptops/Desktop
login issue,Laptops/Desktop
pls issue one tonner PrinterHP LASERJET 1020 for ,Printer
system issue,Laptops/Desktop
not able to take print,Printer
mail issue,Laptops/Desktop
PDF issue,Laptops/Desktop
New laptop ready for backup,Laptops/Desktop
Biometric reconfigure,Laptops/Desktop
need to allocate one desktop,Laptops/Desktop
need to configure outlook profile,Laptops/Desktop
need to upgrade ram of monitioring tv,Laptops/Desktop
need to configure login profile,Laptops/Desktop
vpn is not working,Laptops/Desktop
Reset my password,E-mail
login issue,Laptops/Desktop
Reset my password,E-mail
need to install printer,Laptops/Desktop
Printerneed to add,Laptops/Desktop
Printerissue,Laptops/Desktop
Outlook Archive issue,Laptops/Desktop
Biometric registration,Laptops/Desktop
WDV cheque handovwer in account,Laptops/Desktop
Yokart Bill handover in account,Laptops/Desktop
Saksham not opening,Application
Password not working ,E-mail
SAP Needs to be configure in CFA Varanasi PC as th,Laptops/Desktop
need to install notepad++,Laptops/Desktop
Refresh my system,Laptops/Desktop
kindly reset the password ,E-mail
Configuring Printer,Inquiry / Help
login issue,Laptops/Desktop
DATA troubleshooting,Laptops/Desktop
login issue,Laptops/Desktop
login issue,Laptops/Desktop
need to unlock account,Laptops/Desktop
login issue,Laptops/Desktop
1 Laptop dispatch Jaipur for Manoj Jain,Laptops/Desktop
need to connect wi-fi on iPad of Sanjeev Garg Sir,Laptops/Desktop
4 laptop dispatch Kanpur,Laptops/Desktop
need to install and configure ms teams of Sanjeev ,Laptops/Desktop
Need installation of Essential Elements,Laptops/Desktop
need to install and configure zoom of Sanjeev Garg,Laptops/Desktop
need to install and configure otlook of Sanjeev Ga,Laptops/Desktop
Please reset VPN id of Ajmer depot.   User ID- cf,Network
kindly reset the password santosh patel,E-mail
mail password not working kindly check ,E-mail
outlook is not working,Laptops/Desktop
Driver installation Printerand scanner brother dcp7535,Other
Driver inatllationn Printerand scanner brother dcp7535,Other
Driver inatllationn Printerand scanner brother dcp7535,Other
Driver inatllationn Printerand scanner brother dcp7535,Other
To Add the printer,Inquiry / Help
Printerand scanner brother dcp7535,Other
Ratangarh hub depot password issue,Laptops/Desktop
Printerand scanner brother dcp7535,Other
New laptop count and marking,Laptops/Desktop
Wifi issue and system slow ,Other
Ajmer Depot password issue,Laptops/Desktop
Laptop working very slow,Laptops/Desktop
Mailbox Full Issue ,E-mail
how to configure mail in mobile.,E-mail
"Dear sir,Please arrange to provide one toner cart",Printer
mail backup transfer one system to another system,Laptops/Desktop
Laptop camera issue,Laptops/Desktop
wireless mouse not working,Laptops/Desktop
mail id not working properly,Network
Mail Issue.,Laptops/Desktop
Printeris not working,Laptops/Desktop
Dell bill scan and send Kanpur,Laptops/Desktop
Laptop handover to HP engineer for repair ...,Laptops/Desktop
Please arrange to provide CCTV access of Prism tow,Laptops/Desktop
